S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.,
,,,,,,,,,,
1,10% Prime Debenture 2088,5,853,836,853,100,84075,832.3,20.70 ,                                            
,,,,,,,,,,
2,10.5 % NEPAL INVESTMENT DEBENTURE 2082,1,915,915,915,75,68625,928.2,-13.20 ,                                             
,,,,,,,,,,
3,12% ICFC Finance Limited Debenture 2083,1,1025.1,1025.1,1025.1,50,51255,1005,20.10 ,                                            
,,,,,,,,,,
4,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,23,720,699.1,720,800,569151.8,698,22.00 ,                                            
,,,,,,,,,,
5,Agricultural Development Bank Limited,164,320,312,317.9,17351,5480341.7,316,1.90 ,                                            
,,,,,,,,,,
6,Ankhu Khola Jalvidhyut Company Ltd,65,169,165.1,167,7894,1316215.7,165,2.00 ,                                            
,,,,,,,,,,
7,Api Power Company Ltd.,179,206,202,205,27822,5701041.1,203.2,1.80 ,                                            
,,,,,,,,,,
8,Arun Kabeli Power Ltd.,135,376,366,374,18480,6869677.5,372,2.00 ,                                            
,,,,,,,,,,
9,Arun Valley Hydropower Development Co. Ltd.,81,262.4,258,261.9,14019,3647584.7,258,3.90 ,                                            
,,,,,,,,,,
10,Asha Laghubitta Bittiya Sanstha Ltd,14,932,915,932,305,281651,925,7.00 ,                                            
,,,,,,,,,,
11,Asian Life Insurance Co. Limited,39,438,429,437,3413,1475232.5,430,7.00 ,                                            
,,,,,,,,,,
12,Aviyan Laghubitta Bittiya Sanstha Limited,1125,830,764.4,767.1,16958,13173753.1,830.2,-63.10 ,                                             
,,,,,,,,,,
13,Balephi Hydropower Limited,68,243,225.9,236.6,3110,724898,230.4,6.20 ,                                            
,,,,,,,,,,
14,Barun Hydropower Co. Ltd.,41,206,201,204,3580,723652.9,204,0.00 ,                                            
,,,,,,,,,,
15,Best Finance Company Ltd.,203,311.8,299.5,308,24705,7550393.8,318.1,-10.10 ,                                             
,,,,,,,,,,
16,Bindhyabasini Hydropower Development Company Limited,40,330.3,317,327,770,248493,336.6,-9.60 ,                                             
,,,,,,,,,,
17,Bottlers Nepal (Terai) Limited,1,12100,12100,12100,11,133100,12201,-101.00 ,                                             
,,,,,,,,,,
18,Buddha Bhumi Nepal Hydropower Company Limited,9,351.9,343,351.9,90,30985,349,2.90 ,                                            
,,,,,,,,,,
19,Butwal Power Company Limited,47,296,292,294,2949,864684.5,292.2,1.80 ,                                            
,,,,,,,,,,
20,CEDB Hydropower Development Company Limited,66,611.7,595,595,4145,2482257.5,599.9,-4.90 ,                                             
,,,,,,,,,,
Page 1/11 12345678910Next›Last»,,,,,,,,,,
,,,,,,,,,,
Total Amount Rs.,"516,770,817",,,,,,,,,
,,,,,,,,,,
Total Quantity,"1,536,205",,,,,,,,,
,,,,,,,,,,
Total No of Transactions,"13,067",,,,,,,,,
